Entry,Interacts with
Q9HBW0,P13569; Q15599
P60568,P01589; P14784
P09651,P22626; P51991; P07910; P31942; Q07666; Q14141; Q9UHD9; PRO_0000037577 [P27958]; P09651-2; O00233; Q92973; Q9UHD9
Q6Q788,Q96CM8; O95393; Q96MX0; Q96DZ9-2; Q9NX76; Q8NDC4; Q9HB07; Q9BQE4; A0PK00; Q96HH6; Q9BTV4; P49638; O95070
P43629,O95393; P30511; Q9NRQ5; Q9C0I4
P08637,Q99706
A0A1W2PQB1,Q9BS40
P01730,P51681; P01730; P13473-2; P06239; P04150; Q9Y371; P04578; PRO_0000038427 [P04578]; Q1PHM6; Q2N0S6; P03407; P05919
P10145,P25025; P02776; P98066; P9WGV3; P9WMN3; Q6MX51
P48061,P51671; Q99616; P78556; O00585; O15444; Q9Y258; Q9NRJ3; P13501; PRO_0000005175 [P13501]; P02778; O14625; O95715; Q6UXB2; P19875; P80162; Q07325; P02776; P10720; P47992; Q9UBD3
Q15363,P41180; P13987; P55085; P49755; O35587
Q8IZ57,Q969F0; P12314; Q99795; Q9Y5Y7; Q9Y225-2; Q9HBV2; Q9BVX2
Q9HC16,Q9HC16; P17612; P69723; Q77YG0
P05362,Q99828; A8MQ03; P20701; Q14145; P60410; Q9BRX2; Q9UHD9
O75475,Q99708; P63165; P04585; PRO_0000042447 [P04585]; PRO_0000042402 [P12497]
Q96EB6,Q13085; P31749; P27695; O95352; Q8N163; P33076; Q9NS37; Q9Y5P2; P68400; P67870; P26358; O14640; Q92997; Q01094; Q09472; Q14192; Q12778; O43524; P98177; P51610; Q14469; Q9UBP5; Q9Y4H2; Q92831; Q03164; Q9GZQ8; Q03112; P42345; P01106; P04198; O60934; Q02577; Q9HAN9; Q15466; P27986; P37231; P10276; Q04206; Q86WX3; Q8N122; O43159; Q8WTS6; Q13573; P36956-3; O43463; Q04724; P04637; O15350; P49815; Q14191; P23025; P12956; Q9R1E0; Q60974; Q60644; Q9Z0Y9; P37238; P37238-1; P04608
P23297,Q00994; P52907; Q00987; O15151; P35579; Q96CV9; Q9H8W4; P23297; P29034; P33764; P26447; P04271; P25815; Q8WXG8; P32418; P04637
Q5T7Y4,Q04864-2
P43630,P30511
P01889,P43626; P43628; P43632; Q14943; Q8N423; Q9BX59
P13501,P51671; Q99616; O15467; Q92583; P13500; P78556; O00585; O00175; O15444; Q9Y258; Q9Y4X3; Q9NRJ3; P13501; P32246; P51681; P02778; O14625; P48061; O95715; Q6UXB2; P19875; P80162; Q07325; P02776; PRO_0000351217 [P02776]; P02775; P47992; Q9UBD3; Q92583; P48061; P02776; PRO_0000351217 [P02776]
P40305,P55056; P22736
P40933,Q13261; P14784
P21926,O14672; P08473; Q2M2E3; Q9P2B2
Q14C87,P62136
Q86YL7,Q9P126-1; Q9NUH8
Q15116,Q9NZQ7; Q9NZQ7-1; Q9BQ51; Q06124
P42081,P16410; P01552; Q99XW1; PRO_0000035619 [P06886]
P10321,P43626; P43627; P43628; Q14954; P43632; Q14953; Q14943; F2VZG2
A0A583ZBW8,Q14953
P61073,P25106; P51681; Q04900; P04233; P49682; P32302; Q16643; Q96J02-2; P35579; O60603; Q07266-1
P16410,P33681; P42081; Q4LDR2; Q13021; P27986; A2RU14
Q05066,Q15599
P13500,P13501; P80075; P02776; P78317; Q9Y320; Q2F862; P98066
P03973,Q9BXU9; Q96Q77; Q12805; Q8IZU0; P49639; O43561-2; Q13064; P41271-2; Q96HA8; Q8WWB5; O43765; Q96EQ0; Q96QK8; Q9UMX0; Q9UHD9
